year,month_formatted,start_of_month,individuals,orgs
2023.33,2023-05,2023-05-01,88,83
2023.41,2023-06,2023-06-01,91,85
2023.49,2023-07,2023-07-01,127,117
2023.58,2023-08,2023-08-01,146,134
2023.66,2023-09,2023-09-01,180,166
2023.75,2023-10,2023-10-01,229,214
2023.83,2023-11,2023-11-01,234,217
2023.91,2023-12,2023-12-01,240,222
2024.0,2024-01,2024-01-01,251,233
2024.08,2024-02,2024-02-01,255,237
2024.16,2024-03,2024-03-01,263,245
2024.25,2024-04,2024-04-01,267,249
2024.33,2024-05,2024-05-01,277,258
2024.41,2024-06,2024-06-01,299,277
2024.5,2024-07,2024-07-01,311,287
2024.58,2024-08,2024-08-01,318,294
2024.67,2024-09,2024-09-01,329,305
2024.75,2024-10,2024-10-01,330,306
