Year,date,unix_timestamp,Decisions
2020,2020-01-01,1577836800,21.0
2020,2020-04-01,1585699200,33.0
2020,2020-07-01,1593561600,510.0
2020,2020-10-01,1601510400,472.0
2021,2021-01-01,1609459200,484.0
2021,2021-04-01,1617235200,691.0
2021,2021-07-01,1625097600,1118.0
2021,2021-10-01,1633046400,782.0
2022,2022-01-01,1640995200,948.0
2022,2022-04-01,1648771200,980.0
2022,2022-07-01,1656633600,1815.0
2022,2022-10-01,1664582400,1528.0
2023,2023-01-01,1672531200,1760.0
2023,2023-04-01,1680307200,1898.0
2023,2023-07-01,1688169600,2047.0
2023,2023-10-01,1696118400,1662.0
