date,new_la_code,la_name,Age,Characteristic_grouping,Characteristic,avgcohort,avgNEETNK,avgNEET,avgNK,NEETNKprop,NEETprop,Notknownprop,annual_change_NEETNK,geography_code
2023,,,16-17,Total,Total,1236360.0,64880,34780,30090,5.2,2.8,2.4,0.5,E92000001
2023,,,16-17,Total,Total,105340.0,5160,2490,2670,4.9,2.4,2.5,0.3,E12000004
2023,E06000015,Derby,16-17,Total,Total,6240.0,269.333333333333,261.666666666667,7.66666666666667,4.31623931623932,4.19337606837607,0.122863247863248,-1.24143103016342,E06000015
2023,E10000007,Derbyshire,16-17,Total,Total,16188.0,403.333333333333,296.333333333333,107,2.49155753232847,1.83057408780166,0.66098344452681,0.0645683965992139,E10000007
2023,E06000016,Leicester,16-17,Total,Total,9701.0,661,477,184,6.81373054324296,4.91701886403464,1.89671167920833,-2.13979504079857,E06000016
2023,E10000018,Leicestershire,16-17,Total,Total,14452.0,529.333333333333,111,418.333333333333,3.662699511025,0.768059784112926,2.89463972691208,0.420780967437652,E10000018
2023,E10000019,Lincolnshire,16-17,Total,Total,16465.0,1189.66666666667,332.666666666667,857,7.22542767486588,2.02044741370584,5.20498026116004,1.85862666415316,E10000019
2023,E06000018,Nottingham,16-17,Total,Total,6840.66666666667,352,323.666666666667,28.3333333333333,5.14569730045805,4.73150765032648,0.414189650131566,0.465147361113115,E06000018
2023,E10000024,Nottinghamshire,16-17,Total,Total,17236.6666666667,1331.66666666667,353,978.666666666667,7.72577837942371,2.04795977567202,5.67781860375169,1.27044584087347,E10000024
2023,E06000017,Rutland,16-17,Total,Total,652.666666666667,9.33333333333333,5.66666666666667,3.66666666666667,1.43003064351379,0.868232890704801,0.561797752808989,0.0489564747158397,E06000017
2023,E06000061,North Northamptonshire,16-17,Total,Total,8108.66666666667,211,174,37,2.60215407383047,2.14585217462797,0.456301899202499,0.183433841898389,E06000061
2023,E06000062,West Northamptonshire,16-17,Total,Total,9457.66666666667,204,155,49,2.15698022768125,1.6388820357382,0.518098191943044,-0.148174869972834,E06000062
2023,,,16-17,Total,Total,138020.0,5820,4300,1520,4.2,3.1,1.1,0.3,E12000006
2023,E06000055,Bedford,16-17,Total,Total,4067.33333333333,150.333333333333,72.3333333333333,78,3.69611539091952,1.77839698410097,1.91771840681855,-0.929247298959298,E06000055
2023,E10000003,Cambridgeshire,16-17,Total,Total,13305.3333333333,358,337.333333333333,20.6666666666667,2.69065036576811,2.53532418077964,0.155326184988476,-0.191295831173287,E10000003
2023,E06000056,Central Bedfordshire,16-17,Total,Total,6308.33333333333,202.333333333333,162,40.3333333333333,3.20739762219287,2.56803170409511,0.639365918097754,-0.432986370903883,E06000056
2023,E10000012,Essex,16-17,Total,Total,33435.3333333333,1725,1141.33333333333,583.666666666667,5.15921280880506,3.41355452315913,1.74565828564592,1.00190829565399,E10000012
2023,E10000015,Hertfordshire,16-17,Total,Total,27365.0,901.666666666667,634.666666666667,267,3.29496315244534,2.31926426700774,0.975698885437603,0.277325020246418,E10000015
2023,E06000032,Luton,16-17,Total,Total,6131.33333333333,228.333333333333,164.333333333333,64,3.72404044797216,2.68022181146026,1.04381863651191,0.595188085189655,E06000032
2023,E10000020,Norfolk,16-17,Total,Total,18003.6666666667,940.333333333333,688.333333333333,252,5.22301012756661,3.82329525467034,1.39971487289626,0.333048199811016,E10000020
2023,E06000031,Peterborough,16-17,Total,Total,5127.33333333333,249.333333333333,225.333333333333,24,4.86282668053569,4.39474710700819,0.4680795735275,-0.114666958971129,E06000031
2023,E06000033,Southend-on-Sea,16-17,Total,Total,3956.66666666667,130.666666666667,79,51.6666666666667,3.30244313395114,1.9966301600674,1.30581297388374,-0.422680186341433,E06000033
2023,E10000029,Suffolk,16-17,Total,Total,15729.0,804.666666666667,670,134.666666666667,5.11581579672367,4.25964778434738,0.85616801237629,0.116556898212224,E10000029
2023,E06000034,Thurrock,16-17,Total,Total,4593.66666666667,129,129,0,2.80821420796749,2.80821420796749,0,0.809262347519781,E06000034
2023,,,16-17,Total,Total,189140.0,6360,2990,3370,3.4,1.6,1.8,-0.1,E12000007
2023,E09000002,Barking and Dagenham,16-17,Total,Total,6874.0,199.666666666667,194.333333333333,5.33333333333333,2.9046649209582,2.82707787799438,0.077587042963825,0.0180880135734598,E09000002
2023,E09000003,Barnet,16-17,Total,Total,8347.66666666667,76.6666666666667,64,12.6666666666667,0.918420317054666,0.766681308149982,0.151739008904684,-0.541221218271984,E09000003
2023,E09000004,Bexley,16-17,Total,Total,6057.66666666667,142.666666666667,119.666666666667,23,2.35514224398833,1.97545809717713,0.379684146811203,0.0333892921263943,E09000004
2023,E09000005,Brent,16-17,Total,Total,8173.0,192,114.666666666667,77.3333333333333,2.34919858069252,1.40299359680248,0.946204983890044,-0.0695370220717457,E09000005
2023,E09000006,Bromley,16-17,Total,Total,7139.66666666667,114.333333333333,85.6666666666667,28.6666666666667,1.6013819506046,1.19986927494281,0.401512675661796,0.0782309904588334,E09000006
2023,E09000007,Camden,16-17,Total,Total,3261.33333333333,83,62,21,2.54497138184791,1.90106295993459,0.643908421913328,-0.870117099990025,E09000007
2023,E09000001,City of London,16-17,Total,Total,60.6666666666667,0,0,0,0,0,0,0,E09000001
2023,E09000008,Croydon,16-17,Total,Total,9554.33333333333,457.333333333333,148.333333333333,309,4.78665875867844,1.55252416006699,3.23413459861145,-0.150103172703014,E09000008
2023,E09000009,Ealing,16-17,Total,Total,8653.0,205.333333333333,96,109.333333333333,2.3729727647444,1.10944181208829,1.26353095265611,0.394481672059074,E09000009
2023,E09000010,Enfield,16-17,Total,Total,8939.33333333333,508.666666666667,140,368.666666666667,5.69020806920725,1.56611231262585,4.1240957565814,0.0682746634617191,E09000010
2023,E09000011,Greenwich,16-17,Total,Total,6470.0,215.333333333333,150.666666666667,64.6666666666667,3.32818134981968,2.32869654817105,0.999484801648635,-0.49471281864684,E09000011
2023,E09000012,Hackney,16-17,Total,Total,5385.0,130,84.6666666666667,45.3333333333333,2.41411327762303,1.57226864747756,0.841844630145466,-0.241920880357633,E09000012
2023,E09000013,Hammersmith and Fulham,16-17,Total,Total,2675.66666666667,109.666666666667,26.6666666666667,83,4.09866699887878,0.996636352310951,3.10203064656783,-5.07668131290734,E09000013
2023,E09000014,Haringey,16-17,Total,Total,5439.33333333333,259.333333333333,104.333333333333,155,4.76774114474813,1.91812722147322,2.84961392327491,-0.948767893920609,E09000014
2023,E09000015,Harrow,16-17,Total,Total,5923.66666666667,99,49.3333333333333,49.6666666666667,1.67126216870182,0.832817511676327,0.838444657025491,-0.252268631392593,E09000015
2023,E09000016,Havering,16-17,Total,Total,6198.0,151.666666666667,95,56.6666666666667,2.44702592234054,1.53275250080671,0.914273421533828,-0.29217791145568,E09000016
2023,E09000017,Hillingdon,16-17,Total,Total,7619.33333333333,428.666666666667,101.333333333333,327.333333333333,5.62603902353662,1.32995012687024,4.29608889666638,0.321762707747148,E09000017
2023,E09000018,Hounslow,16-17,Total,Total,6580.66666666667,366,103.333333333333,262.666666666667,5.5617465302401,1.57025630635194,3.99149022388816,2.29969506231694,E09000018
2023,E09000019,Islington,16-17,Total,Total,3431.66666666667,153.333333333333,64.3333333333333,89,4.46818844099077,1.87469645458961,2.59349198640117,-0.173245821957438,E09000019
2023,E09000020,Kensington and Chelsea,16-17,Total,Total,1413.33333333333,50.6666666666667,34.6666666666667,16,3.58490566037736,2.45283018867925,1.13207547169811,0.0711354799405086,E09000020
2023,E09000021,Kingston upon Thames,16-17,Total,Total,3475.66666666667,67,40.6666666666667,26.3333333333333,1.9276877337681,1.17003932099357,0.757648412774528,-0.311826405537268,E09000021
2023,E09000022,Lambeth,16-17,Total,Total,5599.0,230.666666666667,80.6666666666667,150,4.11978329463595,1.4407334643091,2.67904983032684,0.0316754174012166,E09000022
2023,E09000023,Lewisham,16-17,Total,Total,6583.66666666667,514,99.3333333333333,414.666666666667,7.8071996354615,1.50878436534859,6.29841527011291,2.82312811146602,E09000023
2023,E09000024,Merton,16-17,Total,Total,4434.0,83.6666666666667,50.6666666666667,33,1.88693429559465,1.14268531047963,0.74424898511502,-0.260799078647893,E09000024
2023,E09000025,Newham,16-17,Total,Total,9135.66666666667,339.666666666667,179.333333333333,160.333333333333,3.71802824096034,1.9630021527347,1.75502608822564,0.179457823409029,E09000025
2023,E09000026,Redbridge,16-17,Total,Total,8044.66666666667,252.666666666667,175,77.6666666666667,3.14079721554653,2.17535427198144,0.965442943565095,0.164457444624372,E09000026
2023,E09000027,Richmond upon Thames,16-17,Total,Total,3329.0,63.6666666666667,33.6666666666667,30,1.91248623210173,1.01131470912186,0.901171522979874,-0.349771931476937,E09000027
2023,E09000028,Southwark,16-17,Total,Total,5802.0,151.333333333333,65.6666666666667,85.6666666666667,2.60829598988854,1.13179363437895,1.47650235550959,-0.364319912105206,E09000028
2023,E09000029,Sutton,16-17,Total,Total,4958.66666666667,110.333333333333,41.3333333333333,69,2.22506050013445,0.833557407905351,1.39150309222909,-1.63295361622272,E09000029
2023,E09000030,Tower Hamlets,16-17,Total,Total,6576.33333333333,236.333333333333,196.666666666667,39.6666666666667,3.59369456130569,2.99052156723605,0.603172994069644,0.204399261058332,E09000030
2023,E09000031,Waltham Forest,16-17,Total,Total,6088.66666666667,126.666666666667,47.3333333333333,79.3333333333333,2.08036789663856,0.777400635059674,1.30296726157889,-0.453968270791127,E09000031
2023,E09000032,Wandsworth,16-17,Total,Total,4306.0,152.333333333333,78.3333333333333,74,3.53769933426227,1.81916705372349,1.71853228053878,-0.21847325539206,E09000032
2023,E09000033,Westminster,16-17,Total,Total,2610.66666666667,85.6666666666667,59.6666666666667,26,3.28140960163432,2.28549540347293,0.995914198161389,0.0271276517002006,E09000033
2023,,,16-17,Total,Total,57910.0,3030,2720,310,5.2,4.7,0.5,-0.1,E12000001
2023,E06000005,Darlington,16-17,Total,Total,2412.66666666667,92.6666666666667,62,30.6666666666667,3.84084001105278,2.56977065487704,1.27106935617574,-0.563592121911213,E06000005
2023,E08000037,Gateshead,16-17,Total,Total,3929.66666666667,184.333333333333,171.333333333333,13,4.69081347018407,4.35999660700653,0.330816863177538,-0.28783725569125,E08000037
2023,E06000001,Hartlepool,16-17,Total,Total,2305.66666666667,89.6666666666667,89,0.666666666666667,3.88896920630331,3.86005493711146,0.0289142691918462,0.143428183711161,E06000001
2023,E06000002,Middlesbrough,16-17,Total,Total,3343.66666666667,146.666666666667,136.666666666667,10,4.38640215332469,4.08732927923437,0.29907287409032,-1.24971838560362,E06000002
2023,E08000021,Newcastle upon Tyne,16-17,Total,Total,6029.33333333333,398.333333333333,351.333333333333,47,6.60659000442282,5.82706766917293,0.779522335249889,-0.155634015921648,E08000021
2023,E08000022,North Tyneside,16-17,Total,Total,4781.66666666667,238.666666666667,162.666666666667,76,4.99128616242593,3.401882188916,1.58940397350993,0.701721856392092,E08000022
