LAD23NM,Count,Location quotient,LAD23CD
Manchester,538,5.63143,E08000003
Liverpool,471,8.7795,E08000012
Leeds,387,4.45501,E08000035
County Durham,276,10.09769,E06000047
Bradford,242,5.20004,E08000032
Sheffield,226,4.73543,E08000019
North Yorkshire,224,4.02099,E06000065
Kirklees,218,5.49214,E08000034
Wirral,217,9.16768,E08000015
Sunderland,209,15.37236,E08000024
Newcastle upon Tyne,182,6.91336,E08000021
Wigan,178,8.30129,E08000010
Sefton,151,7.1087,E08000014
Doncaster,150,5.996,E08000017
Bolton,145,4.06393,E08000001
Cheshire East,136,2.95969,E06000049
Westmorland and Furness,135,8.01911,E06000064
Gateshead,130,8.53548,E08000037
Trafford,129,3.50922,E08000009
Salford,129,3.99559,E08000006
North Tyneside,127,9.49493,E08000022
Cumberland,121,7.25316,E06000063
Calderdale,116,5.89754,E08000033
Blackburn with Darwen,115,7.44765,E06000008
Stockport,113,3.15457,E08000007
Cheshire West and Chester,107,3.5114,E06000050
Rochdale,107,5.80727,E08000005
Wakefield,106,4.57461,E08000036
Northumberland,105,5.63559,E06000057
Oldham,97,4.13649,E08000004
Lancaster,96,10.26615,E07000121
East Riding of Yorkshire,91,3.46434,E06000011
Bury,85,2.83257,E08000002
South Tyneside,84,10.93695,E08000023
Stockton-on-Tees,84,5.17668,E06000004
York,83,4.72422,E06000014
Knowsley,83,9.20175,E08000011
Tameside,78,4.66629,E08000008
Middlesbrough,76,7.08874,E06000002
"Kingston upon Hull, City of",75,4.50474,E06000010
Hartlepool,75,15.26301,E06000001
Warrington,75,2.37083,E06000007
St. Helens,71,6.98522,E08000013
Rotherham,71,4.08631,E08000018
West Lancashire,71,7.06028,E07000127
Preston,69,3.73785,E07000123
Redcar and Cleveland,68,10.70324,E06000003
North East Lincolnshire,66,5.09152,E06000012
Blackpool,63,6.07235,E06000009
Barnsley,63,4.22874,E08000016
Halton,49,6.1004,E06000006
Fylde,44,3.77118,E07000119
North Lincolnshire,44,4.07819,E06000013
Rossendale,43,7.20666,E07000125
Burnley,42,5.82687,E07000117
Darlington,38,4.33948,E06000005
South Ribble,37,4.29873,E07000126
Hyndburn,34,5.7571,E07000120
Chorley,34,2.80134,E07000118
Ribble Valley,33,5.17054,E07000124
Wyre,26,3.15319,E07000128
Pendle,24,3.18751,E07000122
