geography.code,GVA Current Prices £m
E06000001,1614.0
E06000002,3805.0
E06000003,2171.0
E06000004,6113.0
E06000005,3025.0
E06000006,5173.0
E06000007,10470.0
E06000008,4160.0
E06000009,3310.0
E06000010,7403.0
E06000011,9375.0
E06000012,4253.0
E06000013,5577.0
E06000014,8511.0
E06000015,9226.0
E06000016,10320.0
E06000017,1083.0
E06000018,12900.0
E06000019,4927.0
E06000020,5793.0
E06000021,7020.0
E06000022,5634.0
E06000023,21027.0
E06000024,5719.0
E06000025,16715.0
E06000026,7274.0
E06000027,2543.0
E06000030,12707.0
E06000031,7957.0
E06000032,6639.0
E06000033,3421.0
E06000034,6041.0
E06000035,7657.0
E06000036,5525.0
E06000037,9480.0
E06000038,11008.0
E06000039,10832.0
E06000040,8126.0
E06000041,10304.0
E06000042,16763.0
E06000043,12213.0
E06000044,7851.0
E06000045,9983.0
E06000046,3246.0
E06000047,12123.0
E06000049,16927.0
E06000050,14193.0
E06000051,7987.0
E06000052,14384.0
E06000053,67.0
E06000054,15345.0
E06000055,5151.0
E06000056,7358.0
E06000057,6605.0
E06000058,13545.0
E06000059,9981.0
E06000060,19176.0
E06000061,8806.0
E06000062,15792.0
E06000063,7310.0
E06000064,7746.0
E06000065,19945.0
E06000066,15512.0
E07000008,8900.0
E07000009,2345.0
E07000010,2267.0
E07000011,5548.0
E07000012,7068.0
E07000032,3456.0
E07000033,2481.0
E07000034,3074.0
E07000035,1953.0
E07000036,2084.0
E07000037,1796.0
E07000038,1820.0
E07000039,3112.0
E07000040,3840.0
E07000041,6798.0
E07000042,1778.0
E07000043,2952.0
E07000044,2647.0
E07000045,3026.0
E07000046,1310.0
E07000047,978.0
E07000061,2339.0
E07000062,1891.0
E07000063,2425.0
E07000064,1666.0
E07000065,3255.0
E07000066,7194.0
E07000067,4270.0
E07000068,3470.0
E07000069,1282.0
E07000070,6779.0
E07000071,5874.0
E07000072,4433.0
E07000073,2688.0
E07000074,1369.0
E07000075,2214.0
E07000076,2509.0
E07000077,3254.0
E07000078,4514.0
E07000079,4513.0
E07000080,1920.0
E07000081,3941.0
E07000082,3210.0
E07000083,4072.0
E07000084,7880.0
E07000085,3015.0
E07000086,5214.0
E07000087,3688.0
E07000088,1359.0
E07000089,3611.0
E07000090,2848.0
E07000091,5668.0
E07000092,7794.0
E07000093,4280.0
E07000094,6185.0
E07000095,2554.0
E07000096,6377.0
E07000098,5220.0
E07000099,4826.0
E07000102,5245.0
E07000103,5279.0
E07000105,3939.0
E07000106,4352.0
E07000107,4343.0
E07000108,3277.0
E07000109,2206.0
E07000110,5550.0
E07000111,5098.0
E07000112,2802.0
E07000113,3633.0
E07000114,2588.0
E07000115,5406.0
E07000116,4114.0
E07000117,2356.0
E07000118,2790.0
E07000119,3320.0
E07000120,1758.0
E07000121,3831.0
E07000122,1990.0
E07000123,5597.0
E07000124,2221.0
E07000125,1289.0
E07000126,4754.0
E07000127,3635.0
E07000128,2063.0
E07000129,5047.0
E07000130,4961.0
E07000131,2661.0
E07000132,2944.0
E07000133,1493.0
E07000134,4907.0
E07000135,1009.0
E07000136,1640.0
E07000137,2876.0
E07000138,3215.0
E07000139,3297.0
E07000140,2586.0
E07000141,3381.0
E07000142,2059.0
E07000143,3188.0
E07000144,4961.0
E07000145,2370.0
E07000146,3622.0
E07000147,1883.0
E07000148,4808.0
E07000149,3729.0
E07000170,3263.0
E07000171,2884.0
E07000172,2781.0
E07000173,1970.0
E07000174,2148.0
E07000175,3014.0
E07000176,3684.0
E07000177,6086.0
E07000178,8600.0
E07000179,5051.0
E07000180,5893.0
E07000181,3699.0
E07000192,2526.0
E07000193,4422.0
E07000194,3114.0
E07000195,2765.0
E07000196,2321.0
E07000197,3812.0
E07000198,1882.0
E07000199,1994.0
E07000200,2167.0
E07000202,5423.0
E07000203,2819.0
E07000207,7581.0
E07000208,2106.0
E07000209,6688.0
E07000210,5427.0
E07000211,7329.0
E07000212,7511.0
E07000213,4248.0
E07000214,3988.0
E07000215,2408.0
E07000216,4037.0
E07000217,3297.0
E07000218,3721.0
E07000219,2669.0
E07000220,3997.0
E07000221,6266.0
E07000222,8514.0
E07000223,1353.0
E07000224,3114.0
E07000225,4155.0
E07000226,5863.0
E07000227,4361.0
E07000228,4292.0
E07000229,4823.0
E07000234,3780.0
E07000235,2069.0
E07000236,2446.0
E07000237,3799.0
E07000238,3673.0
E07000239,1750.0
E07000240,5179.0
E07000241,6544.0
E07000242,5391.0
E07000243,3124.0
E07000244,6438.0
E07000245,6132.0
E08000001,7467.0
E08000002,4278.0
E08000003,35873.0
E08000004,4880.0
E08000005,4693.0
E08000006,10748.0
E08000007,9377.0
E08000008,4025.0
E08000009,12304.0
E08000010,6705.0
E08000011,4562.0
E08000012,18431.0
E08000013,3156.0
E08000014,5368.0
E08000015,6625.0
E08000016,5052.0
E08000017,7191.0
E08000018,5606.0
E08000019,17295.0
E08000021,12223.0
E08000022,6005.0
E08000023,2206.0
E08000024,7961.0
E08000025,35427.0
E08000026,11804.0
E08000027,6154.0
E08000028,7306.0
E08000029,10722.0
E08000030,5506.0
E08000031,6440.0
E08000032,11745.0
E08000033,5845.0
E08000034,9223.0
E08000035,36554.0
E08000036,10250.0
E08000037,5039.0
E09000001,109211.0
E09000002,4107.0
E09000003,10639.0
E09000004,6695.0
E09000005,10087.0
E09000006,8287.0
E09000007,40213.0
E09000008,11757.0
E09000009,9795.0
E09000010,8499.0
E09000011,6342.0
E09000012,13386.0
E09000013,13707.0
E09000014,4803.0
E09000015,5865.0
E09000016,7258.0
E09000017,13866.0
E09000018,16274.0
E09000019,26337.0
E09000020,11570.0
E09000021,5385.0
E09000022,15388.0
E09000023,4154.0
E09000024,6533.0
E09000025,8506.0
E09000026,5915.0
E09000027,7692.0
E09000028,26220.0
E09000029,5161.0
E09000030,44834.0
E09000031,5151.0
E09000032,8693.0
E09000033,94809.0
N09000001,4249.0
N09000002,5303.0
N09000003,18458.0
N09000004,2788.0
N09000005,3698.0
N09000006,2928.0
N09000007,4294.0
N09000008,3152.0
N09000009,4623.0
N09000010,4008.0
N09000011,2639.0
S12000005,1239.0
S12000006,4150.0
S12000008,2384.0
S12000010,2351.0
S12000011,1415.0
S12000013,645.0
S12000014,4475.0
S12000017,7651.0
S12000018,1261.0
S12000019,2005.0
S12000020,2960.0
S12000021,3069.0
S12000023,699.0
S12000026,2810.0
S12000027,855.0
S12000028,2901.0
S12000029,8273.0
S12000030,3128.0
S12000033,11099.0
S12000034,7252.0
S12000035,2596.0
S12000036,34281.0
S12000038,5181.0
S12000039,2521.0
S12000040,6284.0
S12000041,2546.0
S12000042,4330.0
S12000045,1720.0
S12000047,8837.0
S12000048,4770.0
S12000049,29391.0
S12000050,10391.0
W06000001,1455.0
W06000002,2842.0
W06000003,2196.0
W06000004,2377.0
W06000005,5645.0
W06000006,4442.0
W06000008,1703.0
W06000009,2974.0
W06000010,4194.0
W06000011,6417.0
W06000012,2817.0
W06000013,3694.0
W06000014,2376.0
W06000015,15366.0
W06000016,4980.0
W06000018,3468.0
W06000019,1206.0
W06000020,1982.0
W06000021,2523.0
W06000022,4811.0
W06000023,2765.0
W06000024,1227.0
