,LAD22NM,Count,Location quotient,LAD22CD
0,Leeds,196,4.95701,E08000035
1,Cheshire East,172,8.2236,E06000049
2,County Durham,139,11.17259,E06000047
3,East Riding of Yorkshire,131,10.95661,E06000011
4,Manchester,121,2.78258,E08000003
5,Trafford,106,6.33509,E08000009
6,Newcastle upon Tyne,106,8.84606,E08000021
7,Doncaster,104,9.13334,E08000017
8,Liverpool,98,4.01329,E08000012
9,Cheshire West and Chester,90,6.48881,E06000050
10,Sheffield,86,3.95891,E08000019
11,Warrington,83,5.76425,E06000007
12,Stockport,79,4.84524,E08000007
13,Northumberland,78,9.19752,E06000057
14,Kirklees,74,4.09584,E08000034
15,Salford,65,4.42314,E08000006
16,Gateshead,65,9.37613,E08000037
17,Fylde,62,11.67461,E07000119
18,Bradford,60,2.83249,E08000032
19,Sunderland,59,9.53393,E08000024
20,Bolton,56,3.4482,E08000001
21,Wirral,54,5.0121,E08000015
22,Wigan,53,5.43034,E08000010
23,Preston,47,5.59367,E07000123
24,Calderdale,46,5.13803,E08000033
25,"Kingston upon Hull, City of",44,5.80613,E06000010
26,Bury,43,3.14815,E08000002
27,Rotherham,39,4.93133,E08000018
28,North Lincolnshire,38,7.73791,E06000013
29,North Tyneside,37,6.07737,E08000022
30,Oldham,37,3.46647,E08000004
31,York,36,4.50174,E06000014
32,Wakefield,36,3.41332,E08000036
33,Chorley,35,6.33549,E07000118
34,Sefton,35,3.61999,E08000014
35,Stockton-on-Tees,35,4.73877,E06000004
36,Barnsley,35,5.16136,E08000016
37,Blackburn with Darwen,34,4.83755,E06000008
38,Lancaster,31,7.28323,E07000121
39,St. Helens,28,6.05209,E08000013
40,South Ribble,27,6.89173,E07000126
41,West Lancashire,26,5.68019,E07000127
42,Wyre,24,6.39461,E07000128
43,Rochdale,24,2.86171,E08000005
44,North East Lincolnshire,22,3.72865,E06000012
45,Halton,22,6.01742,E06000006
46,Knowsley,19,4.62777,E08000011
47,Burnley,18,5.48637,E07000117
48,Pendle,17,4.96039,E07000122
49,Tameside,17,2.23435,E08000008
50,Hyndburn,15,5.5801,E07000120
51,Middlesbrough,15,3.07378,E06000002
52,Redcar and Cleveland,15,5.18708,E06000003
53,Blackpool,15,3.17639,E06000009
54,Ribble Valley,14,4.81921,E07000124
55,Darlington,13,3.26155,E06000005
56,Hartlepool,12,5.3652,E06000001
57,South Tyneside,11,3.14656,E08000023
58,Rossendale,10,3.68206,E07000125
