LAD23NM,Count,Location quotient,LAD23CD
Leeds,138175401,3.13,E08000035
North Yorkshire,124878852,10.61,E06000065
Cheshire East,122611520,11.52,E06000049
Doncaster,119870010,27.75,E08000017
County Durham,113229823,34.19,E06000047
Cheshire West and Chester,78261428,10.79,E06000050
Sheffield,75643580,12.63,E08000019
Gateshead,69651765,20.04,E08000037
Manchester,65980971,2.73,E08000003
East Riding of Yorkshire,64615443,9.34,E06000011
Westmorland and Furness,56901569,35.35,E06000064
Liverpool,54069468,6.43,E08000012
Trafford,53286181,4.21,E08000009
Rotherham,52008319,28.56,E08000018
"Kingston upon Hull, City of",51973519,15.52,E06000010
Wirral,46003780,4.12,E08000015
Sunderland,43408192,17.65,E08000024
Stockport,42289266,7.03,E08000007
Chorley,39775497,30.71,E07000118
Warrington,36633482,3.22,E06000007
Wigan,36135448,17.24,E08000010
Northumberland,35775033,22.19,E06000057
Cumberland,35600893,14.01,E06000063
West Lancashire,35520665,19.92,E07000127
Salford,33786364,3.8,E08000006
Bolton,33529817,3.62,E08000001
Kirklees,32613625,11.5,E08000034
Halton,32100261,7.83,E06000006
Preston,31361411,10.94,E07000123
Stockton-on-Tees,28648786,12.99,E06000004
North Lincolnshire,27905233,11.36,E06000013
Bradford,27183515,1.67,E08000032
Sefton,27126432,18.43,E08000014
Wyre,25350111,38.37,E07000128
Calderdale,23440147,8.79,E08000033
St. Helens,22824359,19.93,E08000013
Newcastle upon Tyne,21998227,2.55,E08000021
Barnsley,21795385,13.29,E08000016
Blackburn with Darwen,19180479,1.49,E06000008
Bury,18430889,4.49,E08000002
Fylde,18357097,16.24,E07000119
York,16717193,2.18,E06000014
Wakefield,16565221,3.73,E08000036
North Tyneside,15850944,5.48,E08000022
North East Lincolnshire,13653850,6.69,E06000012
Pendle,12633940,15.31,E07000122
Blackpool,11077119,20.63,E06000009
Oldham,10730991,5.89,E08000004
Middlesbrough,10728006,7.62,E06000002
Lancaster,10169421,13.51,E07000121
Burnley,9080351,7.68,E07000117
Hyndburn,8386597,10.44,E07000120
South Ribble,8182780,7.12,E07000126
Tameside,7789536,5.66,E08000008
Rossendale,7737695,19.16,E07000125
South Tyneside,7703199,11.58,E08000023
Rochdale,7328436,3.79,E08000005
Knowsley,4885691,3.85,E08000011
Redcar and Cleveland,4597259,8.5,E06000003
Ribble Valley,4361187,11.25,E07000124
Hartlepool,3760965,12.3,E06000001
Darlington,3009680,2.34,E06000005
