Theme,date,date_name,geography_code,geography_name,geography_type,variable_code,variable_name,measures_code,measures_name,value
employment,2004-12-01,Jan 2004-Dec 2004,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.1
employment,2004-12-01,Jan 2004-Dec 2004,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1104100
employment,2004-12-01,Jan 2004-Dec 2004,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.6
employment,2004-12-01,Jan 2004-Dec 2004,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3075300
employment,2004-12-01,Jan 2004-Dec 2004,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,72.2
employment,2004-12-01,Jan 2004-Dec 2004,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2327800
employment,2005-03-01,Apr 2004-Mar 2005,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.4
employment,2005-03-01,Apr 2004-Mar 2005,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1110500
employment,2005-03-01,Apr 2004-Mar 2005,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.6
employment,2005-03-01,Apr 2004-Mar 2005,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3083000
employment,2005-03-01,Apr 2004-Mar 2005,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,72.2
employment,2005-03-01,Apr 2004-Mar 2005,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2338100
employment,2005-06-01,Jul 2004-Jun 2005,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.7
employment,2005-06-01,Jul 2004-Jun 2005,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1117800
employment,2005-06-01,Jul 2004-Jun 2005,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.8
employment,2005-06-01,Jul 2004-Jun 2005,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3095400
employment,2005-06-01,Jul 2004-Jun 2005,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,72.3
employment,2005-06-01,Jul 2004-Jun 2005,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2349700
employment,2005-09-01,Oct 2004-Sep 2005,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.8
employment,2005-09-01,Oct 2004-Sep 2005,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1120900
employment,2005-09-01,Oct 2004-Sep 2005,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.8
employment,2005-09-01,Oct 2004-Sep 2005,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3100400
employment,2005-09-01,Oct 2004-Sep 2005,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,72.5
employment,2005-09-01,Oct 2004-Sep 2005,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2361900
employment,2005-12-01,Jan 2005-Dec 2005,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,69
employment,2005-12-01,Jan 2005-Dec 2005,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1124900
employment,2005-12-01,Jan 2005-Dec 2005,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.6
employment,2005-12-01,Jan 2005-Dec 2005,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3098000
employment,2005-12-01,Jan 2005-Dec 2005,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,72.3
employment,2005-12-01,Jan 2005-Dec 2005,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2363300
employment,2006-03-01,Apr 2005-Mar 2006,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.7
employment,2006-03-01,Apr 2005-Mar 2006,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1122400
employment,2006-03-01,Apr 2005-Mar 2006,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.6
employment,2006-03-01,Apr 2005-Mar 2006,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3107200
employment,2006-03-01,Apr 2005-Mar 2006,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.9
employment,2006-03-01,Apr 2005-Mar 2006,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2355700
employment,2006-06-01,Jul 2005-Jun 2006,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.9
employment,2006-06-01,Jul 2005-Jun 2006,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1126100
employment,2006-06-01,Jul 2005-Jun 2006,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.5
employment,2006-06-01,Jul 2005-Jun 2006,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3110000
employment,2006-06-01,Jul 2005-Jun 2006,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,72
employment,2006-06-01,Jul 2005-Jun 2006,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2364000
employment,2006-09-01,Oct 2005-Sep 2006,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.8
employment,2006-09-01,Oct 2005-Sep 2006,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1127000
employment,2006-09-01,Oct 2005-Sep 2006,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.6
employment,2006-09-01,Oct 2005-Sep 2006,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3121000
employment,2006-09-01,Oct 2005-Sep 2006,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.6
employment,2006-09-01,Oct 2005-Sep 2006,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2354600
employment,2006-12-01,Jan 2006-Dec 2006,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,68.9
employment,2006-12-01,Jan 2006-Dec 2006,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1129000
employment,2006-12-01,Jan 2006-Dec 2006,E12000002,North West,regions,45,Employment rate - aged 16-64,20599,Variable,70.6
employment,2006-12-01,Jan 2006-Dec 2006,E12000002,North West,regions,45,Employment rate - aged 16-64,21001,Numerator,3126500
employment,2006-12-01,Jan 2006-Dec 2006,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,20599,Variable,71.9
employment,2006-12-01,Jan 2006-Dec 2006,E12000003,Yorkshire and The Humber,regions,45,Employment rate - aged 16-64,21001,Numerator,2368000
employment,2007-03-01,Apr 2006-Mar 2007,E12000001,North East,regions,45,Employment rate - aged 16-64,20599,Variable,69.3
employment,2007-03-01,Apr 2006-Mar 2007,E12000001,North East,regions,45,Employment rate - aged 16-64,21001,Numerator,1138200
