Local authority,Count,Location quotient
Leeds,1320,2.82
North Yorkshire,1079,8.92
Cheshire East,1021,9.27
Sheffield,965,5.65
Cheshire West and Chester,833,10.7
Doncaster,795,17.47
County Durham,741,15.69
Gateshead,693,19.6
Manchester,632,2.5
Sunderland,575,12.61
"Kingston upon Hull, City of",553,12.51
Westmorland and Furness,520,17.21
East Riding of Yorkshire,489,7.63
Kirklees,469,9.28
Cumberland,430,12.73
Stockport,404,4.53
Trafford,392,2.86
Liverpool,390,3.33
Northumberland,384,14.66
Stockton-on-Tees,379,13.85
Chorley,363,17.04
Rotherham,348,9.29
Salford,346,3.35
Wigan,346,9.65
Bolton,338,4.84
Wirral,327,3.62
Halton,320,9
Warrington,292,2.04
Fylde,275,13
North Lincolnshire,268,10.16
Calderdale,261,7.11
Sefton,253,7.5
Preston,250,7.97
Bradford,238,1.05
Bury,211,3.89
Blackpool,209,16.22
St. Helens,198,7.2
South Tyneside,191,15.01
Newcastle upon Tyne,190,1.79
West Lancashire,188,10.73
Wakefield,182,2.5
Wyre,162,15.85
York,152,2.35
Blackburn with Darwen,145,1.48
North Tyneside,142,2.47
Barnsley,124,4.53
Oldham,120,4.02
Tameside,115,4.27
Knowsley,113,5.86
Burnley,100,6.36
Middlesbrough,100,6.41
Lancaster,86,5.51
Pendle,83,5.79
Hyndburn,82,6.18
North East Lincolnshire,80,3.66
Rossendale,72,8.52
South Ribble,69,3.52
Ribble Valley,68,8.71
Redcar and Cleveland,67,8.5
Rochdale,56,2.17
Darlington,50,1.27
Hartlepool,44,7.87
