Legal name of lead applicant organisation,Bid Name,Country,Bid Value,LADs,Notes
Aberdeenshire Council,Cultural Tides: North Sea Connections in Aberdeenshire,Scotland,20000000,S12000034,
Allerdale Borough Council,Workington Gateway,England,9586777,E06000063,Allerdale merged into Cumberland
"Armagh City, Banbridge and Craigavon Borough Council",F.E. McWilliam Gallery & Studio Extension and Alterations,Northern Ireland,3573604,N09000002,
Ashfield District Council,Science Discovery Centre and Planetarium,England,3100000,E07000170,
Bangor Marine Limited,Marine Gardens Public Realm project,Northern Ireland,9829424,N09000011,
Barnsley Metropolitan Borough Council,Barnsley Futures (Barnsley Central),England,10243422,E08000016,
Bassetlaw District Council,Levelling Up  Worksop Town Centre,England,17968565,E07000171,
BCP Council,BCP Coastal Communities Infrastructure,England,19993864,E06000058,
Belfast City Council,Northern Ireland's Last Picturehouse - An Arts Centre for Belfast,Northern Ireland,4094000,N09000003,
Belfast International Airport Limited,Belfast International Airport Decarbonisation Project,Northern Ireland,2327928,N09000003,
Blackburn with Darwen Borough Council,Blackburn Growth Axis Transport Package (Southeast),England,20000000,E06000008,
Blackpool Borough Council,Multiversity,England,40000000,E06000009,
Blaenau Gwent County Borough Council,HiVE,Wales,9360000,W06000019,
Borough of Broxbourne Council,Waltham Cross Renaissance,England,14316988,E07000095,
Borough of Telford and Wrekin,Broadening Aspirations through Education and Culture,England,20000000,E06000020,
Boston Borough Council,The Rosegarth Square Masterplan,England,14846596,E07000136,
Bridgend County Borough Council,Grand Pavilion Porthcawl - A Landmark Legacy,Wales,17998316,W06000013,
Bristol City Council,Transforming Filwood Broadway,England,14536470,E06000023,
Broxtowe Borough Council,Kimberley Means Business,England,16539214,E07000172,
Caerphilly County Borough Council,Caerphilly Leisure & Wellbeing Hub,Wales,20000000,W06000018,
Cambridgeshire and Peterborough Combined Authority*,Peterborough Station Enhancements and Connectivity,England,47850000,E06000031;E07000008;E07000009;E07000010;E07000011;E07000012,
Canterbury City Council,Connected Canterbury: Unlocking the Tales of England,England,19905911,E07000106,
Cardiff Council*,Cardiff Crossrail Phase 1,Wales,50000000,W06000015,
Causeway Coast and Glens Borough Council,Ballycastle Leisure Centre,Northern Ireland,8142850,N09000004,
Cheshire West and Chester Council,Transforming Ellesmere Port Town Centre,England,13378478,E06000050,
City and County of Swansea,Lower Swansea Valley: Regenerating through the Vivian Legacy,Wales,20000000,W06000011,
City of Lincoln Council,Lincoln Western Growth Corridor (WGC) - Eastern Transport Access Scheme,England,20000000,E07000138,
Colchester Borough Council,Co-Creation: A Contemporary Colchester City Centre,England,19663063,E07000071,
Conwy County Borough Council,Conwy Coast to Valley Transport Connectivity,Wales,18620484,W06000003,
