last_updated,Create Date,Do you feel the True North report identified the key challenges and opportunities facing the region? ,Are you interested in attending future True North events? ,Are you currently a B Corp or in the process of becoming a B Corp?,Would you be interested in hearing more from Brabners about the B Corp process?,Company name,City,Industry,sector,location,Which theme of the True North report do you most identify with and could support activity around?,How would you like to be involved with the True North network?,company_size
2024-05-14 01:00:00,2022-07-15 11:28:00,Yes,Yes,Yes,No,,,,Legal,,Other,,
2024-05-13 12:30:00,2022-07-18 22:49:00,Yes,Yes,Yes,No,UK FOR GOOD LTD,Wilmslow,Professional Training & Coaching,"Service, manufacturing, agricultural/growing",,Purpose and societal impact,,
2024-05-10 14:30:00,2024-01-03 13:39:00,Yes,Yes,No,No,Azets,Walsall,Accounting,"Corporate Finance, Tax, Accounting, Advisory",Cumbria; Northumberland ; Tyne and Wear; Durham; North Yorkshire; Lancashire; West Yorkshire; Greater Manchester; Cheshire; Scotland; Wales,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events,"1,000+"
2024-05-09 16:18:00,2022-12-23 10:59:00,Yes,Yes,No,Yes,Saffery LLP,London,Accounting,"Accountancy, Tax and Business Advisory",,"People, skills and the future",,
2024-05-08 13:15:00,2024-05-08 13:15:00,Yes,Yes,No,Yes,Bruntwood,Manchester,Retail,"Information Technology; Pharmaceuticals, Biotechnology, and Life Sciences; Real Estate; Technology and Software Development",Greater Manchester,"People, skills and the future; Innovation and change; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events,10-49
2024-05-03 09:30:00,2022-03-28 00:29:00,Yes,Yes,No,Yes,Accountable Recruitment,Liverpool,,Professional Services; Recruitment,Merseyside,"People, skills and the future",Keeping informed about the latest True North network activities and upcoming events; Co-curating an event for your sector/businesses in your area.,10-49
2024-05-01 16:00:00,2022-03-28 00:29:00,Yes,Yes,No,Yes,Fleetsolve Ltd,Birkenhead,Utilities,Onsite Sustainable Heat and Power systems for the built environment,,Sustainable development,,
2024-05-01 15:00:00,2023-08-23 11:11:00,Yes,Yes,No,No,J.P. Morgan & Co.,New York,Electrical/Electronic Manufacturing,Wealth Management,,Innovation and change,,
2024-05-01 11:06:00,2024-05-01 11:06:00,Yes,Yes,No,Yes,LOVANIA NURSERIES LIMITED,Tarleton,,"Agriculture, Forestry and Fishing; Manufacturing and Engineering",Lancashire,"People, skills and the future; Innovation and change; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events; Being spotlighted by Brabners in future True North digital content as a case study,100-249
2024-04-26 16:14:00,2024-04-26 16:14:00,Yes,Yes,No,No,,,,Professional Services,Greater Manchester,"People, skills and the future; Sustainable development; Purpose and societal impact",Keeping informed about the latest True North network activities and upcoming events,0-9
